rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,policy_lane,diff_readiness_status,projected_refresh_date,state_observation_count,person_count,program_count,deterministic_advancement_count,deterministic_completion_count,source_refresh_required_count,human_review_required_count,no_change_expected_count,stale_by_refresh_count,auto_classifiable_transition_count,fresh_observation_required_count,dominant_policy_lane,dominant_diff_readiness_status,recommended_operator_action,evidence_json
training_transition_plan_rollup_dcc65b2aeb7504f2eaf8,program,Diagnostic Radiology Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Diagnostic Radiology Residency,US_GME_RESIDENCY_5Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,54,54,1,0,0,54,0,0,54,0,54,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 54}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_5Y"": 54}, ""policy_lane_counts"": {""source_refresh_required"": 54}, ""role_counts"": {""resident"": 54}, ""trainee_category_counts"": {""resident"": 54}}"
training_transition_plan_rollup_e3bfbdc79a8cb3026b0f,program,"Endocrinology, Diabetes and Metabolism Fellowship",University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,"Endocrinology, Diabetes and Metabolism Fellowship",none,carry_forward_no_change,diff_no_change_expected,2027-08-15,21,21,1,4,4,0,0,13,8,8,8,carry_forward_no_change,diff_no_change_expected,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 8, ""diff_no_change_expected"": 13}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 8, ""none"": 13}, ""policy_lane_counts"": {""carry_forward_no_change"": 13, ""deterministic_expected_advancement"": 4, ""deterministic_expected_completion"": 4}, ""role_counts"": {""fellow"": 21}, ""trainee_category_counts"": {""fellow"": 21}}"
training_transition_plan_rollup_7c565acac62771b43b92,program,Facial Plastic and Reconstructive Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Facial Plastic and Reconstructive Surgery Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,1,1,1,0,0,1,0,0,1,0,1,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1}, ""policy_lane_counts"": {""source_refresh_required"": 1}, ""role_counts"": {""fellow"": 1}, ""trainee_category_counts"": {""fellow"": 1}}"
training_transition_plan_rollup_30050620c74d033871f5,program,Family Medicine Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Family Medicine Residency,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,35,35,1,23,12,0,0,0,35,35,35,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 35}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 35}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 23, ""deterministic_expected_completion"": 12}, ""role_counts"": {""resident"": 35}, ""trainee_category_counts"": {""resident"": 35}}"
training_transition_plan_rollup_fc9759a2de0f75924d52,program,Foot and Ankle Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Foot and Ankle Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_3f1c7db1d24831157b35,program,GI/Hepatic Pathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,GI/Hepatic Pathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_644158192a810249305a,program,Gastroenterology and Hepatology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Gastroenterology and Hepatology Fellowship,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,23,23,1,16,7,0,0,0,23,23,23,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 23}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 23}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 16, ""deterministic_expected_completion"": 7}, ""role_counts"": {""fellow"": 23}, ""trainee_category_counts"": {""fellow"": 23}}"
training_transition_plan_rollup_807dffa9a03e6af6b36e,program,General Surgery Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,General Surgery Residency,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,75,75,1,36,13,26,0,0,75,49,75,deterministic_expected_advancement,diff_expected_change_classifiable,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 49, ""diff_source_refresh_bound"": 26}, ""lifecycle_code_counts"": {""US_GME_PRELIMINARY_1Y"": 13, ""US_GME_RESIDENCY_5Y"": 62}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 36, ""deterministic_expected_completion"": 13, ""source_refresh_required"": 26}, ""role_counts"": {""resident"": 75}, ""trainee_category_counts"": {""resident"": 75}}"
training_transition_plan_rollup_0056fc9ef5318373ae3b,program,Geriatric Medicine Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Geriatric Medicine Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,3,3,1,0,0,2,1,0,3,0,3,source_refresh_required,diff_source_refresh_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 1, ""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 3}, ""policy_lane_counts"": {""manual_review_required"": 1, ""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 3}, ""trainee_category_counts"": {""fellow"": 3}}"
training_transition_plan_rollup_cd1f2548c211653bafef,program,Gynecologic Oncology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Gynecologic Oncology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,6,6,1,0,0,6,0,0,6,0,6,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 6}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 6}, ""policy_lane_counts"": {""source_refresh_required"": 6}, ""role_counts"": {""fellow"": 6}, ""trainee_category_counts"": {""fellow"": 6}}"
training_transition_plan_rollup_8475169f80288e681201,program,Hand Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hand Surgery Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_84d89e0839b111f0ec16,program,"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_067f7704ae9f3a18967c,program,Hematology/Oncology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hematology/Oncology Fellowship,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,32,32,1,18,9,5,0,0,32,27,32,deterministic_expected_advancement,diff_expected_change_classifiable,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 27, ""diff_source_refresh_bound"": 5}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_3Y"": 32}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 18, ""deterministic_expected_completion"": 9, ""source_refresh_required"": 5}, ""role_counts"": {""fellow"": 32}, ""trainee_category_counts"": {""fellow"": 32}}"
training_transition_plan_rollup_79038f64fd3fa38a3ab7,program,Hematopathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hematopathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,4,4,1,0,0,4,0,0,4,0,4,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 4}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 4}, ""policy_lane_counts"": {""source_refresh_required"": 4}, ""role_counts"": {""fellow"": 4}, ""trainee_category_counts"": {""fellow"": 4}}"
training_transition_plan_rollup_81f4de8b8fdb06ab0924,program,Hospice and Palliative Medicine Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hospice and Palliative Medicine Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,5,5,1,0,0,5,0,0,5,0,5,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 5}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 5}, ""policy_lane_counts"": {""source_refresh_required"": 5}, ""role_counts"": {""fellow"": 5}, ""trainee_category_counts"": {""fellow"": 5}}"
training_transition_plan_rollup_caf078471e84c686776c,program,Infectious Diseases Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Infectious Diseases Fellowship,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,17,15,1,6,6,3,2,0,17,12,17,deterministic_expected_advancement,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 12, ""diff_review_bound"": 2, ""diff_source_refresh_bound"": 3}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 17}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 6, ""deterministic_expected_completion"": 6, ""manual_review_required"": 2, ""source_refresh_required"": 3}, ""role_counts"": {""fellow"": 17}, ""trainee_category_counts"": {""fellow"": 17}}"
training_transition_plan_rollup_d7b21bc50a69013cec33,program,Internal Medicine Physician-Scientist Pathway,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Physician-Scientist Pathway,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,27,15,1,25,2,0,0,0,27,27,27,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 27}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 27}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 25, ""deterministic_expected_completion"": 2}, ""role_counts"": {""resident"": 27}, ""trainee_category_counts"": {""resident"": 27}}"
training_transition_plan_rollup_9a5ff584af2eb265ce99,program,Internal Medicine Primary Care Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Primary Care Residency,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,21,21,1,14,7,0,0,0,21,21,21,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 21}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 21}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 14, ""deterministic_expected_completion"": 7}, ""role_counts"": {""resident"": 21}, ""trainee_category_counts"": {""resident"": 21}}"
training_transition_plan_rollup_e7e759e82194c5b6b4f2,program,Internal Medicine Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Residency,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,194,173,1,144,50,0,0,0,194,194,194,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 194}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 194}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 144, ""deterministic_expected_completion"": 50}, ""role_counts"": {""resident"": 194}, ""trainee_category_counts"": {""resident"": 194}}"
training_transition_plan_rollup_85bd20c18092c9d12e66,program,Internal Medicine Residency - Global Health Equities Track,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Residency - Global Health Equities Track,US_GME_RESIDENCY_3Y,deterministic_expected_completion,diff_expected_change_classifiable,2027-08-15,36,22,1,9,15,0,12,0,36,24,36,deterministic_expected_completion,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 24, ""diff_review_bound"": 12}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 4, ""US_GME_RESIDENCY_3Y"": 32}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 9, ""deterministic_expected_completion"": 15, ""manual_review_required"": 12}, ""role_counts"": {""fellow"": 4, ""resident"": 32}, ""trainee_category_counts"": {""fellow"": 4, ""resident"": 32}}"
training_transition_plan_rollup_689f91f23d260f25127d,program,Internal Medicine Residency - Healthcare Leadership in Quality Track,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Residency - Healthcare Leadership in Quality Track,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,29,25,1,17,12,0,0,0,29,29,29,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 29}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 29}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 17, ""deterministic_expected_completion"": 12}, ""role_counts"": {""resident"": 29}, ""trainee_category_counts"": {""resident"": 29}}"
training_transition_plan_rollup_8ed019fedcf39bae0f67,program,Internal Medicine Residency - Medical Education Leadership Track,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Internal Medicine Residency - Medical Education Leadership Track,US_GME_RESIDENCY_3Y,deterministic_expected_completion,diff_expected_change_classifiable,2027-08-15,13,9,1,2,9,0,2,0,13,11,13,deterministic_expected_completion,diff_expected_change_classifiable,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 11, ""diff_review_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_3Y"": 13}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 2, ""deterministic_expected_completion"": 9, ""manual_review_required"": 2}, ""role_counts"": {""resident"": 13}, ""trainee_category_counts"": {""resident"": 13}}"
training_transition_plan_rollup_a6babef48581278852e1,program,Interventional Cardiology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Interventional Cardiology Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,4,4,1,0,0,4,0,0,4,0,4,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 4}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 4}, ""policy_lane_counts"": {""source_refresh_required"": 4}, ""role_counts"": {""fellow"": 4}, ""trainee_category_counts"": {""fellow"": 4}}"
training_transition_plan_rollup_d8b55ac7a7983e1410d7,program,Interventional Radiology Integrated Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Interventional Radiology Integrated Residency,US_GME_RESIDENCY_6Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,19,19,1,0,0,19,0,0,19,0,19,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 19}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_6Y"": 19}, ""policy_lane_counts"": {""source_refresh_required"": 19}, ""role_counts"": {""resident"": 19}, ""trainee_category_counts"": {""resident"": 19}}"
training_transition_plan_rollup_45d8c679ec21523c2cbd,program,Maternal Fetal Medicine Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Maternal Fetal Medicine Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,manual_review_required,diff_review_bound,2027-08-15,8,8,1,0,0,0,8,0,8,0,8,manual_review_required,diff_review_bound,review_lifecycle_or_source_before_mutation,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_review_bound"": 8}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 8}, ""policy_lane_counts"": {""manual_review_required"": 8}, ""role_counts"": {""fellow"": 8}, ""trainee_category_counts"": {""fellow"": 8}}"
training_transition_plan_rollup_42b6ee1744121f374096,program,Medical Scientist Training Program,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,medical_student,medical_student,Medical Scientist Training Program,US_MD_PHD_MSTP_VARIABLE,source_refresh_required,diff_source_refresh_bound,2027-08-15,225,225,1,0,0,225,0,0,225,0,225,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 225}, ""lifecycle_code_counts"": {""US_MD_PHD_MSTP_VARIABLE"": 225}, ""policy_lane_counts"": {""source_refresh_required"": 225}, ""role_counts"": {""medical_student"": 225}, ""trainee_category_counts"": {""medical_student"": 225}}"
training_transition_plan_rollup_b346081bf03161c93499,program,Microvascular Reconstructive Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Microvascular Reconstructive Surgery Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,5,5,1,0,0,5,0,0,5,0,5,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 5}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 5}, ""policy_lane_counts"": {""source_refresh_required"": 5}, ""role_counts"": {""fellow"": 5}, ""trainee_category_counts"": {""fellow"": 5}}"
training_transition_plan_rollup_f198b52172280ea25af0,program,Molecular Genetic Pathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Molecular Genetic Pathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_47183169580cf8d29e91,program,Nephrology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Nephrology Fellowship,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,22,22,1,9,7,6,0,0,22,16,22,deterministic_expected_advancement,diff_expected_change_classifiable,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 16, ""diff_source_refresh_bound"": 6}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_2Y"": 22}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 9, ""deterministic_expected_completion"": 7, ""source_refresh_required"": 6}, ""role_counts"": {""fellow"": 22}, ""trainee_category_counts"": {""fellow"": 22}}"
training_transition_plan_rollup_e724bfc97c973d2270d4,program,Neurological Surgery Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Neurological Surgery Residency,US_GME_RESIDENCY_7Y,deterministic_expected_advancement,diff_expected_change_classifiable,2027-08-15,21,21,1,18,3,0,0,0,21,21,21,deterministic_expected_advancement,diff_expected_change_classifiable,classify_expected_advancements_and_completion_absences_with_fresh_evidence,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 21}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_7Y"": 21}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 18, ""deterministic_expected_completion"": 3}, ""role_counts"": {""resident"": 21}, ""trainee_category_counts"": {""resident"": 21}}"
training_transition_plan_rollup_d5c5b4dcc75017a9e144,program,Neurology Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Neurology Residency,US_GME_RESIDENCY_5Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,54,54,1,0,0,54,0,0,54,0,54,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 54}, ""lifecycle_code_counts"": {""US_GME_RESIDENCY_5Y"": 54}, ""policy_lane_counts"": {""source_refresh_required"": 54}, ""role_counts"": {""resident"": 54}, ""trainee_category_counts"": {""resident"": 54}}"
training_transition_plan_rollup_a909ce12716f40d7d4cb,program,Neuropathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Neuropathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_DURATION_UNKNOWN"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
training_transition_plan_rollup_5a8cd7462c03357dfd48,program,Neuroradiology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Neuroradiology Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,11,11,1,0,0,11,0,0,11,0,11,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 11}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 11}, ""policy_lane_counts"": {""source_refresh_required"": 11}, ""role_counts"": {""fellow"": 11}, ""trainee_category_counts"": {""fellow"": 11}}"
training_transition_plan_rollup_9d5da54ee9e202e1ab25,program,Neurotology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Neurotology Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,1,1,1,0,0,1,0,0,1,0,1,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 1}, ""policy_lane_counts"": {""source_refresh_required"": 1}, ""role_counts"": {""fellow"": 1}, ""trainee_category_counts"": {""fellow"": 1}}"
training_transition_plan_rollup_7096f8859ca409243ba1,program,Nuclear Radiology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Nuclear Radiology Fellowship,US_GME_FELLOWSHIP_1Y,source_refresh_required,diff_source_refresh_bound,2027-08-15,2,2,1,0,0,2,0,0,2,0,2,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_carry_forward,"{""derived_from"": [""training_state_transition_plan""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""lifecycle_code_counts"": {""US_GME_FELLOWSHIP_1Y"": 2}, ""policy_lane_counts"": {""source_refresh_required"": 2}, ""role_counts"": {""fellow"": 2}, ""trainee_category_counts"": {""fellow"": 2}}"
